source	sourceTitle	target	targetTitle
George A. Alvarez	edu	Viola Störmer	edu
George A. Alvarez	edu	Michael A Cohen	orig
George A. Alvarez	edu	Talia Konkle	edu
George A. Alvarez	edu	Patrick Cavanagh	ca
George A. Alvarez	edu	Mirta Stantic	uk
George A. Alvarez	edu	Ruth Rosenholtz	orig
George A. Alvarez	edu	Jeremy Wolfe	edu
George A. Alvarez	edu	Todd Horowitz	gov
George A. Alvarez	edu	Ken Nakayama	edu
Patrick Cavanagh	ca	Viola Störmer	edu
Marisa Carrasco	edu	Shlomit Yuval-Greenberg	il
Marisa Carrasco	edu	Rachel Denison	orig
Marisa Carrasco	edu	William T. Adler	edu
David J Heeger	edu	Marisa Carrasco	edu
David J Heeger	edu	Rachel Denison	orig
David J Heeger	edu	Edward H Adelson	edu
David J Heeger	edu	Michael Silver	edu
David J Heeger	edu	Shlomit Yuval-Greenberg	il
Rachel Denison	orig	Wei Ji Ma / Whee Ky Ma	edu
Rachel Denison	orig	William T. Adler	edu
Rachel Denison	orig	Yasha (Jacob) Sheynin	ca
Rachel Denison	orig	Shlomit Yuval-Greenberg	il
Rachel Denison	orig	Zhimin Chen	
Chris Baker	gov	Cibu Thomas	gov
Chris Baker	gov	Edward H Silson	uk
Chris Baker	gov	Dwight Kravitz	edu
Chris Baker	gov	Nancy Kanwisher	edu
Thomas Thesen	edu	ruben I. kuzniecky	edu
Karla Evans	uk	Todd Horowitz	gov
Karla Evans	uk	Michael A Cohen	orig
Karla Evans	uk	Yair Pinto	nl
Karla Evans	uk	Piers Howe	au
Jeremy Wolfe	edu	Karla Evans	uk
Jeremy Wolfe	edu	Piers Howe	au
Jeremy Wolfe	edu	Michael A Cohen	orig
Jeremy Wolfe	edu	Marvin M. Chun	edu
Jeremy Wolfe	edu	Ruth Rosenholtz	orig
Jeremy Wolfe	edu	Todd Horowitz	gov
Jeremy Wolfe	edu	Melina Kunar	uk
Jeremy Wolfe	edu	Krista Ehinger	au
Todd Horowitz	gov	Yair Pinto	nl
Michael A Cohen	orig	Piers Howe	au
Michael A Cohen	orig	Todd Horowitz	gov
Michael A Cohen	orig	Yair Pinto	nl
Michael A Cohen	orig	Talia Konkle	edu
Michael A Cohen	orig	Nancy Kanwisher	edu
Michael A Cohen	orig	Patrick Cavanagh	ca
Michael A Cohen	orig	Michael Pitts	edu
Michael A Cohen	orig	Mirta Stantic	uk
Michael A Cohen	orig	Viola Störmer	edu
Michael A Cohen	orig	Thomas L Botch	edu
Colin Reveley	uk	David A Leopold	gov
Colin Reveley	uk	Jason Samaha	orig
Anil Seth	uk	Colin Reveley	uk
Anil Seth	uk	Jason Samaha	orig
Anil Seth	uk	Steve Fleming	uk
David A Leopold	gov	Jason Samaha	orig
Jason Samaha	orig	Rachel Denison	orig
Jason Samaha	orig	Thomas Sprague	edu
Jason Samaha	orig	Luca Iemi	edu
Jason Samaha	orig	Joshua J LaRocque	org
Jason Samaha	orig	Richard J Davidson	edu
Jason Samaha	orig	Regina Lapate	edu
Bernard Marius 't Hart	ca	Luigi Acerbi	ch
Bernard Marius 't Hart	ca	Megan A. K. Peters	orig
Luigi Acerbi	ch	Megan A. K. Peters	orig
Luigi Acerbi	ch	Wei Ji Ma / Whee Ky Ma	edu
Megan A. K. Peters	orig	Michele A Basso	edu
Megan A. K. Peters	orig	ruben I. kuzniecky	edu
Megan A. K. Peters	orig	Thomas Thesen	edu
Megan A. K. Peters	orig	Yoshiaki Ko	edu
Megan A. K. Peters	orig	Robert Kentridge	uk
Megan A. K. Peters	orig	Wei Ji Ma / Whee Ky Ma	edu
Megan A. K. Peters	orig	Stefano Soatto	edu
Megan A. K. Peters	orig	Piercesare Grimaldi	edu
Gerrit W. Maus	sg	Patrick Cavanagh	ca
Gerrit W. Maus	sg	Zhimin Chen	
