source	sourceTitle	target	targetTitle
Andrew Saxe	uk	Surya Ganguli	orig
Andrew Saxe	uk	Jonathan D. Cohen	orig
Andrew Saxe	uk	James L. McClelland	edu
Surya Ganguli	orig	Yoshua Bengio	-
Surya Ganguli	orig	Yann N. Dauphin	-
Jonathan D. Cohen	orig	Rafal Bogacz	uk
Jonathan D. Cohen	orig	Nathaniel D. Daw	orig
Jonathan D. Cohen	orig	Tim Buschman	orig
Jonathan D. Cohen	orig	Yael Niv	edu
Jonathan D. Cohen	orig	Richard J Davidson	edu
Jonathan D. Cohen	orig	Marcelo G Mattar	orig
Paul Thompson	-	Theodore D. Satterthwaite	orig
David J Heeger	edu	Michael S Landy	edu
David J Heeger	edu	Uri Hasson	edu
David J Heeger	edu	Tobias H. Donner	-
Christopher J. Honey	orig	Olaf Sporns	orig
Christopher J. Honey	orig	Janice Chen	-
Christopher J. Honey	orig	leila cammoun	-
Christopher J. Honey	orig	Patric Hagmann	-
Christopher J. Honey	orig	Kenneth A. Norman	edu
Christopher J. Honey	orig	Jean-Philippe Thiran	-
Christopher J. Honey	orig	Corey J. Keller, MD / PhD	-
Christopher J. Honey	orig	kai joshua miller	-
Christopher J. Honey	orig	Jeffrey Ojemann	-
Christopher J. Honey	orig	yaara yeshurun	-
Christopher J. Honey	orig	Dora Hermes	-
Christopher J. Honey	orig	Michael Breakspear	-
Christopher J. Honey	orig	David M. Groppe	-
Christopher J. Honey	orig	Michael Arcaro	-
Christopher J. Honey	orig	Hsiang-Yun Sherry Chien	-
Christopher J. Honey	orig	Yuan Chang Leong	-
Christopher J. Honey	orig	Thomas Thesen	edu
Christopher J. Honey	orig	David J Heeger	edu
Christopher J. Honey	orig	Rajesh PN Rao	-
Christopher J. Honey	orig	Pierre Mégevand	-
Christopher J. Honey	orig	JP Thivierge	-
Christopher J. Honey	orig	Istvan Ulbert	-
Christopher J. Honey	orig	Ralf Schmälzle [Schmaelzle]	-
Christopher J. Honey	orig	Tobias H. Donner	-
Christopher J. Honey	orig	Stephan Gerhard	-
Christopher J. Honey	orig	Kevin Himberger	-
Christopher J. Honey	orig	Michael Milham	-
Christopher J. Honey	orig	Robert Thomas Knight	edu
Christopher J. Honey	orig	Greg J Stephens	-
Christopher J. Honey	orig	Peter J. Ramadge	-
Christopher J. Honey	orig	Po-Hsuan Cameron Chen	-
Christopher J. Honey	orig	Kiran Vodrahalli	-
Christopher J. Honey	orig	Xiuyuan (Hugh) Wang	-
Christopher J. Honey	orig	Manuel R. Mercier	-
Christopher J. Honey	orig	Sara Mostafavi	-
Christopher J. Honey	orig	Jose L Herrero	-
Christopher J. Honey	orig	Yuhao (Danny) Huang	-
Christopher J. Honey	orig	Terrence Sejnowski	edu
Christopher J. Honey	orig	Scott Makeig	-
Christopher J. Honey	orig	Eric Leuthardt	-
Christopher J. Honey	orig	Lucas C. Parra	-
Christopher J. Honey	orig	Jordan Poppenk	-
Christopher J. Honey	orig	Karim Jerbi, PhD	-
Christopher J. Honey	orig	Mikhail Katkov	-
Christopher J. Honey	orig	Harald Schupp	-
Christopher J. Honey	orig	Ryan EB Mruczek	-
Christopher J. Honey	orig	Ehren Newman	-
Christopher J. Honey	orig	Taufik A Valiante	-
Christopher J. Honey	orig	James T Townsend	-
Christopher J. Honey	orig	John M. Beggs	-
Christopher J. Honey	orig	aonan tang	-
Christopher J. Honey	orig	Valentin Riedl	-
Christopher J. Honey	orig	Greg Huffman	-
Christopher J. Honey	orig	Felipe Gerhard	-
Christopher J. Honey	orig	Erez Simony	-
Christopher J. Honey	orig	Daniel Ames	-
Christopher J. Honey	orig	Michael A. Chow	-
Christopher J. Honey	orig	Uri Hasson	edu
Olaf Sporns	orig	Richard Betzel	orig
Janice Chen	-	Uri Hasson	edu
Kenneth A. Norman	edu	Samuel Gershman	edu
Kenneth A. Norman	edu	Tim Buschman	orig
Kenneth A. Norman	edu	Yael Niv	edu
Kenneth A. Norman	edu	Uri Hasson	edu
Corey J. Keller, MD / PhD	-	Wilson Truccolo	orig
Michael Arcaro	-	Uri Hasson	edu
Michael Arcaro	-	Sabine Kastner	edu
Thomas Thesen	edu	Xiuyuan (Hugh) Wang	-
Adam O. Hebb	-	Christopher J. Honey	orig
Istvan Ulbert	-	Wilson Truccolo	orig
Istvan Ulbert	-	Thomas Thesen	edu
Ami Wiesel	-	Christopher J. Honey	orig
Cameron Craddock	-	Christopher J. Honey	orig
Cameron Craddock	-	Theodore D. Satterthwaite	orig
Cameron Craddock	-	Dani S. Bassett	orig
Michael Milham	-	Theodore D. Satterthwaite	orig
Michael Milham	-	Richard Betzel	orig
(Anne-Marie) Clare Kelly	-	Christopher J. Honey	orig
(Anne-Marie) Clare Kelly	-	Lucina Q. Uddin	edu
(Anne-Marie) Clare Kelly	-	Theodore D. Satterthwaite	orig
Robert Thomas Knight	edu	Sabine Kastner	edu
Robert Thomas Knight	edu	Xiaosi Gu	orig
Robert Thomas Knight	edu	Ryan T. Canolty	-
Robert Thomas Knight	edu	Tor Endestad	-
Brett L. Foster	-	Christopher J. Honey	orig
Greg J Stephens	-	Uri Hasson	edu
Christopher Baldassano	-	Christopher J. Honey	orig
Christopher Baldassano	-	Uri Hasson	edu
Peter J. Ramadge	-	Uri Hasson	edu
Po-Hsuan Cameron Chen	-	Uri Hasson	edu
Andrew R. Dykstra	-	Christopher J. Honey	orig
Chris Gaiteri	-	Christopher J. Honey	orig
Alexander Todorov	edu	Christopher J. Honey	orig
Alexander Maier	-	Christopher J. Honey	orig
Biyu J He	orig	Christopher J. Honey	orig
Biyu J He	orig	Marcus E. Raichle	-
Biyu J He	orig	Maurizio Corbetta	-
Biyu J He	orig	Justin L Vincent	-
Biyu J He	orig	Brian Maniscalco	edu
Biyu J He	orig	patrice abry	-
Biyu J He	orig	Patric Hagmann	-
Biyu J He	orig	GUSTAVO DECO	-
Biyu J He	orig	Philippe Ciuciu	-
Biyu J He	orig	Brett L. Foster	-
Biyu J He	orig	Tjeerd W Boonstra	-
Aya Ben-Yakov	-	Christopher J. Honey	orig
Anna Schapiro	edu	Christopher J. Honey	orig
Anna Schapiro	edu	Kenneth A. Norman	edu
Anna Schapiro	edu	Samuel Gershman	edu
Anna Schapiro	edu	Ehren Newman	-
Anna Schapiro	edu	Yael Niv	edu
Jason Samaha	edu	Richard J Davidson	edu
Lucina Q. Uddin	edu	Vinod Menon	orig
Lucina Q. Uddin	edu	Michael Milham	-
Lucina Q. Uddin	edu	Zarrar Shehzad	-
Lucina Q. Uddin	edu	Manish Saggar	orig
F. Xavier Castellanos	-	Lucina Q. Uddin	edu
F. Xavier Castellanos	-	Theodore D. Satterthwaite	orig
Daniel S. Margulies	-	Lucina Q. Uddin	edu
Daniel S. Margulies	-	Theodore D. Satterthwaite	orig
Adriana Di Martino, MD	-	Lucina Q. Uddin	edu
Adriana Di Martino, MD	-	Theodore D. Satterthwaite	orig
Anouk Scheres	-	Lucina Q. Uddin	edu
Anouk Scheres	-	Brian Knutson	orig
Tommaso Scalici	-	Vincenzo Fiore	orig
Guido Di Bella	-	Vincenzo Fiore	orig
Luigi Calabrese	-	Vincenzo Fiore	orig
Edoardo Proverbio	-	Vincenzo Fiore	orig
Luigi Botta	-	Vincenzo Fiore	orig
Roberto Scaffaro	-	Vincenzo Fiore	orig
Fabrizio Sarasini	-	Vincenzo Fiore	orig
Paolo Bruzzaniti	-	Vincenzo Fiore	orig
Antonina Pirrotta	-	Vincenzo Fiore	orig
Mauro Prestipino	-	Vincenzo Fiore	orig
Francesco Paolo Pinnola	-	Vincenzo Fiore	orig
Alessia Monaco	-	Vincenzo Fiore	orig
Maria Chiara Mistretta	-	Vincenzo Fiore	orig
Giuseppe Pitarresi	-	Vincenzo Fiore	orig
Dr.TPSathishkumar	-	Vincenzo Fiore	orig
Dr.Vaggeeram Hariharan	-	Vincenzo Fiore	orig
Dr.G.RAJESHKUMAR	-	Vincenzo Fiore	orig
Marco Morreale	-	Vincenzo Fiore	orig
Pellegrino Conte	-	Vincenzo Fiore	orig
Francesco Paolo La Mantia	-	Vincenzo Fiore	orig
Pietro Tabbuso	-	Vincenzo Fiore	orig
Andrea Feo	-	Vincenzo Fiore	orig
Eric Halgren	com	Wilson Truccolo	orig
Eric Halgren	com	Thomas Thesen	edu
Michael S Landy	edu	Nathaniel D. Daw	orig
Nathaniel D. Daw	orig	Yael Niv	edu
Nathaniel D. Daw	orig	Raymond J Dolan	uk
Nathaniel D. Daw	orig	Samuel Gershman	edu
Nathaniel D. Daw	orig	Ross Otto	ca
Nathaniel D. Daw	orig	Prof. T.W. Robbins	uk
Nathaniel D. Daw	orig	Sham M Kakade	-
Nathaniel D. Daw	orig	Valerie Voon	-
Nathaniel D. Daw	orig	Roshan Cools	nl
Nathaniel D. Daw	orig	Steve Fleming	uk
Russ Poldrack	edu	Tim Behrens	uk
Michael J Frank	orig	Russ Poldrack	edu
Michael J Frank	orig	Roshan Cools	nl
Michael J Frank	orig	Randall O'Reilly	-
Michael J Frank	orig	james m. gold	-
Michael J Frank	orig	Thomas Wiecki	-
Michael J Frank	orig	Quentin Huys	-
Michael J Frank	orig	Tiago V. Maia	-
Michael J Frank	orig	Mike X Cohen	-
Michael J Frank	orig	Nathaniel D. Daw	orig
Steven Siegel	-	Theodore D. Satterthwaite	orig
James L. McClelland	edu	Surya Ganguli	orig
James L. McClelland	edu	Randall O'Reilly	-
James L. McClelland	edu	axel cleeremans	-
James L. McClelland	edu	Tiago V. Maia	-
