source	sourceTitle	target	targetTitle
Marisa Carrasco	edu	Shlomit Yuval-Greenberg	-
Marisa Carrasco	edu	Rachel Denison	orig
David J Heeger	edu	Marisa Carrasco	edu
David J Heeger	edu	Rachel Denison	orig
David J Heeger	edu	Edward H Adelson	-
Rachel Denison	orig	Wei Ji Ma / Whee Ky Ma	edu
Rachel Denison	orig	William T. Adler	-
Rachel Denison	orig	Yasha (Jacob) Sheynin	-
Rachel Denison	orig	Shlomit Yuval-Greenberg	-
Rachel Denison	orig	Zhimin Chen	-
Thomas Thesen	edu	ruben I. kuzniecky	-
Megan A. K. Peters	orig	Michele A Basso	edu
Megan A. K. Peters	orig	ruben I. kuzniecky	-
Megan A. K. Peters	orig	Thomas Thesen	edu
Megan A. K. Peters	orig	Yoshiaki Ko	-
Megan A. K. Peters	orig	Robert Kentridge	-
Megan A. K. Peters	orig	Wei Ji Ma / Whee Ky Ma	edu
Megan A. K. Peters	orig	Stefano Soatto	-
Hakwan Lau	orig	Megan A. K. Peters	orig
Hakwan Lau	orig	Vincent Taschereau-Dumouchel	edu
Hakwan Lau	orig	Kaoru Amano	jp
Hakwan Lau	orig	Steve Fleming	uk
Brian Maniscalco	-	Megan A. K. Peters	orig
Brian Maniscalco	-	Dobromir Rahnev	edu
Brian Maniscalco	-	Brian Odegaard	orig
Ladan Shams	edu	Megan A. K. Peters	orig
Ladan Shams	edu	Wei Ji Ma / Whee Ky Ma	edu
Brian Odegaard	orig	Megan A. K. Peters	orig
Brian Odegaard	orig	Hakwan Lau	orig
Brian Odegaard	orig	Ladan Shams	edu
Brian Odegaard	orig	Michele A Basso	edu
Brian Odegaard	orig	Robert Thomas Knight	-
Brian Odegaard	orig	Piercesare Grimaldi	-
Brian Odegaard	orig	Seong Hah Cho	-
Brian Odegaard	orig	JD Knotts	-
Brian Odegaard	orig	Li Yan McCurdy	-
Brian Odegaard	orig	Sing-Hang Cheung	-
Brian Odegaard	orig	Musen Kingsley Li	-
Brian Odegaard	orig	David Rosenthal	-
Brian Odegaard	orig	Danielle Salomon	-
Brian Odegaard	orig	Ulrik R. Beierholm	-
Brian Odegaard	orig	Johannes Fahrenfort	-
Eric Halgren	-	Megan A. K. Peters	orig
Eric Halgren	-	Thomas Thesen	edu
Benjamin Thompson	-	Megan A. K. Peters	orig
Lotfi B. Merabet	-	Megan A. K. Peters	orig
Kayuet Liu	-	Megan A. K. Peters	orig
Kayuet Liu	-	Vincent Taschereau-Dumouchel	edu
Luigi Acerbi	-	Megan A. K. Peters	orig
Luigi Acerbi	-	Wei Ji Ma / Whee Ky Ma	edu
Bernard Marius 't Hart	-	Megan A. K. Peters	orig
Michael A Cohen	orig	Todd Horowitz	-
Michael A Cohen	orig	Piers Howe	-
Michael A Cohen	orig	Yair Pinto	-
Michael A Cohen	orig	Talia Konkle	edu
Michael A Cohen	orig	Nancy Kanwisher	-
Michael A Cohen	orig	Patrick Cavanagh	-
Michael A Cohen	orig	Michael Pitts	-
Michael A Cohen	orig	Mirta Stantic	-
Michael A Cohen	orig	Viola Störmer	-
Ken Nakayama	-	Michael A Cohen	orig
George A. Alvarez	-	Michael A Cohen	orig
George A. Alvarez	-	Talia Konkle	edu
George A. Alvarez	-	Ruth Rosenholtz	orig
Jeremy Wolfe	-	Michael A Cohen	orig
Jeremy Wolfe	-	Ruth Rosenholtz	orig
Daniel C. Dennett	edu	Michael A Cohen	orig
Marvin M. Chun	-	Michael A Cohen	orig
Karla Evans	-	Michael A Cohen	orig
Juliana Y Rhee	-	Michael A Cohen	orig
Melina Kunar	-	Michael A Cohen	orig
Bria Long	-	Michael A Cohen	orig
Bria Long	-	Talia Konkle	edu
Marte Otten	-	Michael A Cohen	orig
Caroline E Robertson	orig	Michael A Cohen	orig
Caroline E Robertson	orig	Dwight Kravitz	-
Caroline E Robertson	orig	Chris Baker	-
Caroline E Robertson	orig	Nancy Kanwisher	-
Caroline E Robertson	orig	Jan Freyberg	-
Caroline E Robertson	orig	Simon Baron-Cohen	-
Caroline E Robertson	orig	Cibu Thomas	-
Caroline E Robertson	orig	Greg Wallace	-
Caroline E Robertson	orig	Jeff Mentch	-
Caroline E Robertson	orig	Katherine L. Hermann	-
Caroline E Robertson	orig	Thomas L Botch	-
Caroline E Robertson	orig	Edward H Silson	-
Caroline E Robertson	orig	Mark Mikkelsen	-
Caroline E Robertson	orig	Richard Edden	-
Ulrik R. Beierholm	-	Wei Ji Ma / Whee Ky Ma	edu
Shaiyan Keshvari	-	Wei Ji Ma / Whee Ky Ma	edu
John D. Murray	-	Xiao-Jing Wang	edu
John D. Murray	-	Philip Corlett	orig
John Krystal	-	Xiao-Jing Wang	edu
John Krystal	-	Philip Corlett	orig
Alan Anticevic	-	Xiao-Jing Wang	edu
Alan Anticevic	-	Philip Corlett	orig
Grega Repovš	-	Xiao-Jing Wang	edu
Grega Repovš	-	Philip Corlett	orig
Michael W. Cole	-	Xiao-Jing Wang	edu
Michael W. Cole	-	Philip Corlett	orig
Edward H Adelson	-	Ruth Rosenholtz	orig
Michael Silver	-	Rachel Denison	orig
Dobromir Rahnev	edu	Rachel Denison	orig
Dobromir Rahnev	edu	Hakwan Lau	orig
Dobromir Rahnev	edu	Li Yan McCurdy	-
Elise Piazza	-	Rachel Denison	orig
Essa Yacoub	-	Rachel Denison	orig
David A Feinberg	-	Rachel Denison	orig
Anna C Nobre	-	Rachel Denison	orig
Jon Driver (1962-2011)	-	Rachel Denison	orig
Christian C. Ruff	-	Rachel Denison	orig
Gerrit W. Maus	-	Rachel Denison	orig
David Whitney	-	Rachel Denison	orig
Amit Yashar	-	Rachel Denison	orig
Jason Samaha	orig	Rachel Denison	orig
Jason Samaha	orig	Luca Iemi	-
Jason Samaha	orig	Joshua J LaRocque	-
Jason Samaha	orig	Thomas Sprague	-
Jason Samaha	orig	Richard J Davidson	-
Jason Samaha	orig	Regina Lapate	-
Edward T Bullmore	-	Prof. T.W. Robbins	uk
Edward T Bullmore	-	Philip Corlett	orig
George A. Mashour, M.D., Ph.D.	-	Giancarlo Vanini	orig
Ruth Rosenholtz	orig	Yuanzhen Li	-
Ruth Rosenholtz	orig	Shaiyan Keshvari	-
Lavanya Sharan	-	Ruth Rosenholtz	orig
Benjamin Balas	-	Ruth Rosenholtz	orig
Allison Woodruff	-	Ruth Rosenholtz	orig
Jitendra Malik	-	Ruth Rosenholtz	orig
Alvin Raj	-	Ruth Rosenholtz	orig
Andrew Faulring	-	Ruth Rosenholtz	orig
Benjamin A Wolfe	-	Ruth Rosenholtz	orig
Bryan Reimer	-	Ruth Rosenholtz	orig
Ce Liu	-	Ruth Rosenholtz	orig
Patrick Baudisch	-	Ruth Rosenholtz	orig
Krista Ehinger	-	Ruth Rosenholtz	orig
Andrew Watson	-	Ruth Rosenholtz	orig
Anna A Kosovicheva	-	Ruth Rosenholtz	orig
Lex Fridman	-	Ruth Rosenholtz	orig
Nadja Schinkel-Bielefeld	-	Ruth Rosenholtz	orig
Bas Rokers	-	Jason Samaha	orig
Anil Seth	uk	Jason Samaha	orig
Anil Seth	uk	Steve Fleming	uk
Chris Frith	-	Philip Corlett	orig
Chris Frith	-	Steve Fleming	uk
Luke Clark	-	Prof. T.W. Robbins	uk
